celtic,Bain,0,Scott,GK
celtic,Forster,0,Fraser,GK
celtic,Abd,Elhamed,Hatem,D
celtic,Ajer,0,Kristoffer,D
celtic,Bolingoli-Mbombo,0,Boli,D
celtic,Frimpong,0,Jeremie,D
celtic,Jullien,0,Christopher,D
celtic,Ralston,0,Anthony,D
celtic,Simunovic,0,Jozo,D
celtic,Welsh,0,Stephen,D
celtic,Bitton,0,Nir,M
celtic,Brown,0,Scott,M
celtic,Christie,0,Ryan,M
celtic,Forrest,0,James,M
celtic,Johnston,0,Michael,M
celtic,McGregor,0,Callum,M
celtic,Ntcham,0,Olivier,M
celtic,Rogic,0,Tom,M
celtic,Taylor,0,Greg,M
celtic,Bayo,Vakoun,Issouf,F
celtic,Dembele,0,Karamoko,F
celtic,Edouard,0,Odsonne,F
celtic,Griffiths,0,Leigh,F
celtic,Hayes,0,Jonathan,F
celtic,Klimala,0,Patryk,F
celtic,Shved,0,Marian,F
rangers,Foderingham,0,Wesley,GK
rangers,McGregor,0,Allan,GK
rangers,Barisic,0,Borna,D
rangers,Edmundson,0,George,D
rangers,Flanagan,0,Jon,D
rangers,Goldson,0,Connor,D
rangers,Helander,0,Filip,D
rangers,Katic,0,Nikola,D
rangers,Polster,0,Matt,D
rangers,Tavernier,0,James,D
rangers,Arfield,0,Scott,M
rangers,Aribo,0,Joe,M
rangers,Barker,0,Brandon,M
rangers,Davis,0,Steven,M
rangers,Hagi,0,Ianis,M
rangers,Halliday,0,Andy,M
rangers,Jack,0,Ryan,M
rangers,Jones,0,Jordan,M
rangers,Kamara,0,Glen,M
rangers,Kamberi,0,Florian,F
rangers,Kent,0,Ryan,F
rangers,Morelos,0,Alfredo,F
rangers,Stewart,0,Greg,F
motherwell,Gillespie,0,Mark,GK
motherwell,Carroll,0,Jake,D
motherwell,Donnelly,0,Liam,D
motherwell,Dunne,0,Charles,D
motherwell,Gallagher,0,Declan,D
motherwell,Grimshaw,Liam,David,D
motherwell,Hartley,0,Peter,D
motherwell,Maguire,0,Barry,D
motherwell,Tait,0,Richard,D
motherwell,Campbell,0,Allan,M
motherwell,MacIver,0,Ross,M
motherwell,Mugabi,0,Bevis,M
motherwell,Polworth,0,Liam,M
motherwell,Turnbull,0,David,M
motherwell,Hylton,0,Jermaine,F
motherwell,Ilic,0,Christian,F
motherwell,Long,0,Christopher,F
motherwell,Manzinga,0,Christy,F
motherwell,Seedorf,0,Sherwin,F
motherwell,Watt,0,Tony,F
